GV_KEY,Year,Avg_Shadow_Links,Std_Shadow_Links,Min_Shadow_Links,Max_Shadow_Links,Num_Observations
14590,2000,0.5444444444444444,0.5438338954751399,0,2,90
6081,2015,0.5444444444444444,0.564116314229632,0,2,90
24607,1998,0.5444444444444444,0.5227651439750989,0,2,90
65904,2006,0.5333333333333333,0.5236003278940785,0,2,90
61552,2004,0.5333333333333333,0.5844424982047979,0,2,90
12886,2007,0.5333333333333333,0.6217047964529342,0,2,90
7985,1999,0.5222222222222223,0.5849762845049434,0,2,90
6669,2016,0.5,0.6577113878160552,0,2,90
65345,2007,0.4888888888888889,0.6041884601519414,0,2,90
61676,2008,0.4777777777777778,0.5654426083351421,0,2,90
5742,2003,0.4666666666666667,0.6033613708385919,0,2,90
177376,1997,0.45555555555555555,0.6388386779379149,0,2,90
63501,2018,0.45555555555555555,0.638838677937915,0,2,90
7241,2011,0.4444444444444444,0.49968779266390767,0,1,90
3144,2020,0.43333333333333335,0.4983117565757134,0,1,90
6304,1994,0.43333333333333335,0.5415334033707359,0,2,90
165993,2010,0.4222222222222222,0.6176755589545677,0,2,90
16721,2001,0.4111111111111111,0.5170018243604271,0,2,90
3580,2004,0.3888888888888889,0.49022912424414217,0,1,90
6829,2012,0.37777777777777777,0.5100733099497524,0,2,90
9299,2020,0.34444444444444444,0.4778489044986781,0,1,90
10332,1999,0.34444444444444444,0.5438338954751399,0,2,90
29028,2020,0.3333333333333333,0.47404546313997725,0,1,90
8245,1996,0.32222222222222224,0.46994567646321306,0,1,90
12389,2019,0.3111111111111111,0.5330523604452753,0,2,90
4242,1998,0.3,0.460824858880028,0,1,90
3362,1993,0.3,0.5072507967332499,0,2,90
25279,2000,0.2777777777777778,0.47470340303071235,0,2,90
11456,2004,0.26666666666666666,0.46928106620779364,0,2,90
1722,2007,0.24444444444444444,0.4574258977529378,0,2,90
5046,2007,0.23333333333333334,0.42532208548874395,0,1,90
13646,1995,0.2222222222222222,0.41806880186893863,0,1,90
7648,2000,0.17777777777777778,0.3844674641127626,0,1,90
3580,2013,0.06666666666666667,0.25084128112136317,0,1,90
8253,1993,0.0,0.0,0,0,90
24379,2000,0.0,0.0,0,0,90
1209,2007,0.0,0.0,0,0,90
4818,2004,0.0,0.0,0,0,90
5723,2000,0.0,0.0,0,0,90
25157,2013,0.0,0.0,0,0,90
10860,2016,0.0,0.0,0,0,90
